corpName,creditCode,companyType,periodCode,evaGrade,doScore
中国一冶集团有限公司,9.14E+17,施工,,A,94.5
四川京川公路工程（集团）有限公司,91510100633114155W,施工,,A,94.5
中交路桥建设有限公司,9111000059062789XU,施工,,AA,96
四川公路桥梁建设集团有限公司,9151000020181190XN,施工,,AA,96.1
中交第二公路工程局有限公司,91610000220521254B,施工,,AA,96.15
中建三局集团有限公司,91420000757013137P,施工,,AA,95.75
武汉市市政路桥有限公司,91420114587978381D,施工,,A,94.5
中铁七局集团有限公司,9.141E+17,施工,,A,92
湖北工建基础设施建设有限公司,91420000177568101R,施工,,A,90
浙江交工集团股份有限公司,91330000712561789G,施工,,A,94
湖南同力交通实业有限责任公司,9.143E+17,施工,,A,93
山西交通科学研究院集团有限公司,91140000MA0KD8UB9X,施工,,A,94
路安通智科技集团有限公司,9111010663379025X9,施工,,A,90
中铁三局集团有限公司,91140000110104513E,施工,,A,94.5
中铁十五局集团有限公司,9.131E+17,施工,,A,94
安徽天洋交通工程有限公司,91341181734976838L,施工,,A,94.5
中铁二十局集团有限公司,91610000220523065J,施工,,A,93.8
湖北长江路桥有限公司,91420000732710171J,施工,,A,94.3333
中铁二十四局集团有限公司,9.131E+17,施工,,A,93
湖北省高速公路实业开发有限公司,91420000177577761J,施工,,A,94.5
湖北工建基础设施建设有限公司,91420000177568101R,施工,,A,90
山西交通科学研究院集团有限公司,91140000MA0KD8UB9X,施工,,A,94
武汉中交交通工程有限责任公司,9142010078934570X0,施工,,A,92
湖北省路桥集团有限公司,91420000177587177U,施工,,AA,95.7
中交第二航务工程局有限公司,9.14201E+17,施工,,AA,96
中交第二公路工程局有限公司,91610000220521254B,施工,,AA,96.15
中铁七局集团有限公司,9.141E+17,施工,,A,92
安徽天洋交通工程有限公司,91341181734976838L,施工,,A,94.5
中铁十四局集团第四工程有限公司,9.137E+17,施工,,AA,96
中铁二十四局集团有限公司,9.131E+17,施工,,A,93
湖北交投建设集团有限公司,91420000096889202K,施工,,AA,95.95
浙江交工集团股份有限公司,91330000712561789G,施工,,A,94
中国建筑第五工程局有限公司,91430000183764483Y,施工,,A,94
湖北长江路桥有限公司,91420000732710171J,施工,,A,94.3333
中铁六局集团有限公司,91110108101884765M,施工,,A,94
中交路桥建设有限公司,9111000059062789XU,施工,,AA,96
湖南路桥建设集团有限责任公司,91430000183763763N,施工,,A,94
中国葛洲坝集团三峡建设工程有限公司,91420000615573462P,施工,,AA,98.5
四川公路桥梁建设集团有限公司,9151000020181190XN,施工,,AA,96.1
中建三局集团有限公司,91420000757013137P,施工,,AA,95.75
中铁十一局集团有限公司,91420000179315087R,施工,,AA,95.5
中铁十九局集团有限公司,91110000122027391R,施工,,A,90
中交建筑集团有限公司,9111000010123202XN,施工,,A,94
湖北省路桥集团有限公司,91420000177587177U,施工,,AA,95.7
上海城建市政工程（集团）有限公司,9.131E+17,施工,,AA,99.5
中国建筑第八工程局有限公司,9131000063126503X1,施工,,AA,100
中国建筑第五工程局有限公司,91430000183764483Y,施工,,A,94
襄阳路桥建设集团有限公司,9142060074179344XM,施工,,A,94
中铁十五局集团有限公司,9.131E+17,施工,,A,94
湖南路桥建设集团有限责任公司,91430000183763763N,施工,,A,94
中交第三航务工程局有限公司,91310104132660027E,施工,,AA,97.7
中建铁路投资建设集团有限公司,91110115MA00E94N1C,施工,,AA,95.5
张家港港丰交通安全设施有限公司,91320582608256004U,施工,,A,93
中国葛洲坝集团三峡建设工程有限公司,91420000615573462P,施工,,AA,98.5
中铁四局集团有限公司,9.134E+17,施工,,AA,99.3
中铁二十一局集团有限公司,91620000224333621K,施工,,AA,99
四川京川公路工程（集团）有限公司,91510100633114155W,施工,,A,94.5
武汉公路桥梁建设集团有限公司,91420100300026907H,施工,,A,91.1667
中铁六局集团有限公司,91110108101884765M,施工,,A,94
中交第二航务工程局有限公司,9.14201E+17,施工,,AA,96
四川公路桥梁建设集团有限公司,9151000020181190XN,施工,,AA,96.1
中国一冶集团有限公司,9.14201E+17,施工,,A,94.5
中铁六局集团有限公司,91110108101884765M,施工,,A,94
中建铁路投资建设集团有限公司,91110115MA00E94N1C,施工,,AA,95.5
四川京川公路工程（集团）有限公司,91510100633114155W,施工,,A,94.5
中建交通建设集团有限公司,91110000681200816F,施工,,B,78
中铁二十一局集团有限公司,91620000224333621K,施工,,AA,96.5
中铁五局集团有限公司,91520000214400165L,施工,,AA,99
中交建筑集团有限公司,9111000010123202XN,施工,,A,94
杭州红萌交通设施有限公司,9.13301E+17,施工,,A,94
中交路桥建设有限公司,9111000059062789XU,施工,,AA,96
中国中铁股份有限公司,91110000710935003U,施工,,AA,100
浙江交工集团股份有限公司,91330000712561789G,施工,,AA,100
上海城建市政工程（集团）有限公司,9.131E+17,施工,,AA,99.5
中交第三航务工程局有限公司,91310104132660027E,施工,,AA,97.7
中建三局集团有限公司,91420000757013137P,施工,,AA,95.75
中铁二十局集团有限公司,91610000220523065J,施工,,A,93.8
浙江众汇交通科技有限公司,91330604753020188F,施工,,A,94
中铁十五局集团有限公司,9.131E+17,施工,,AA,100
中铁十一局集团有限公司,91420000179315087R,施工,,AA,95.5
上海隧道工程有限公司,91310104398689820Y,施工,,A,89
中交第一航务工程局有限公司,9.112E+17,施工,,AA,100
中国建筑股份有限公司,9.111E+17,施工,,AA,96
中铁十四局集团有限公司,9.137E+17,施工,,AA,96
上海建工集团股份有限公司,91310000631189305E,施工,,AA,99.6
上海城建市政工程（集团）有限公司,9.131E+17,施工,,AA,99.5
中国铁建大桥工程局集团有限公司,91120116244997951G,施工,,AA,100
甘肃路桥建设集团有限公司,91620000224343766L,施工,,A,94.8
中铁十一局集团有限公司,91420000179315087R,施工,,AA,95.5
湖南路桥建设集团有限责任公司,91430000183763763N,施工,,A,94
中铁十九局集团有限公司,91110000122027391R,施工,,A,90
武汉公路桥梁建设集团有限公司,91420100300026907H,施工,,A,91.1667
中铁二十四局集团有限公司,9.131E+17,施工,,AA,96.7
蓝海建设集团有限公司,91340100786512461M,施工,,A,91.5
腾达建设集团股份有限公司,9133000070469053XT,施工,,A,93.5
龙建路桥股份有限公司,91230100606102976R,施工,,AA,95.6
上海金山公路建设有限公司,91310116134253249E,施工,,AA,95.9
上海市城市建设设计研究总院（集团）有限公司,91310101425004437C,设计,,AA,99.5
上海公路桥梁（集团）有限公司,91310000132318272U,施工,,A,94.15
湖南对外建设集团有限公司,91430000183767537H,施工,,A,94.8
中铁十五局集团第一工程有限公司,9161000011315230XJ,施工,,A,91.7
中天交通建设投资集团有限公司,9.14206E+17,施工,,A,92.4
中铁二十局集团有限公司,91610000220523065J,施工,,A,93.8
中交基础设施养护集团有限公司,9.111E+17,施工,,A,94.6
甘肃路桥建设集团有限公司,91620000224343766L,施工,,A,94.8
中交一公局第四工程有限公司,9.14501E+17,施工,,AA,97
中铁七局集团有限公司,9.141E+17,施工,,A,92
中交第二公路工程局有限公司,91610000220521254B,施工,,AA,96.15
中铁十六局集团第三工程有限公司,91330500146914008B,施工,,AA,95.5
龙建路桥股份有限公司,91230100606102976R,施工,,AA,95.6
中电建路桥集团有限公司,91110108787757233M,施工,,AA,96.2
上海市政工程设计研究总院（集团）有限公司,9.131E+17,设计,,AA,99.9
上海公路桥梁（集团）有限公司,91310000132318272U,施工,,AA,97.9
上海金山公路建设有限公司,91310116134253249E,施工,,AA,95.9
武汉市市政路桥有限公司,91420114587978381D,施工,,A,94.5
北京云星宇交通科技股份有限公司,91110000633795210K,施工,,A,94
浙江省隧道工程集团有限公司,9.133E+17,施工,,AA,95.05
中铁三局集团有限公司,91140000110104513E,施工,,A,94.5
江苏镇江路桥工程有限公司,9.13211E+17,施工,,A,94
