unit_name,credit_rating,credit_score,rating_time
四川省地质工程勘察院集团有限公司,AA,113,2024-9-1
四川省国土空间生态修复与地质灾害防治研究院,AA,112,2024-9-1
四川省华地建设工程有限责任公司,AA,111,2024-9-1
四川省自然资源勘察设计集团有限公司,AA,110,2024-9-1
四川省综合地质调查研究所,AA,109,2024-9-1
中国电建集团成都勘测设计研究院有限公司,AA,108,2023-10-1
核工业西南勘察设计研究院有限公司,AA,106,2022-11-1
四川省蜀水地质环境研究有限责任公司,AA,106,2024-9-1
四川二八二核地质工程有限公司,AA,105,2024-9-1
四川省能源地质调查研究所,AA,105,2024-9-1
四川省宜宾地质工程勘察院集团有限公司,AA,104,2024-9-1
成都华建地质工程科技有限公司,AA,104,2023-10-1
四川省一一三地质工程有限公司,AA,104,2024-9-1
四川省一三五岩土工程有限公司,AA,103,2024-9-1
四川九一五工程勘察设计有限公司,AA,103,2024-9-1
四川川核地质工程有限公司,AA,103,2023-10-1
云南地质工程第二勘察院有限公司,AA,103,2023-12-1
四川省六零四地质工程勘查有限公司,AA,103,2024-9-1
四川兴蜀工程勘察设计集团有限公司,AA,103,2024-9-1
中国地质调查局成都地质调查中心(西南地质科技创新中心),AA,103,2022-11-1
重庆蜀通岩土工程有限公司,AA,102,2024-9-1
四川峨眉山四零三建设工程有限责任公司,AA,102,2024-9-1
四川蜀东地质勘察设计研究院有限公司,AA,102,2024-9-1
重庆一三六地质矿产有限责任公司,AA,102,2023-10-1
甘肃天水地质工程勘察院有限责任公司,AA,102,2023-10-1
中国有色金属工业昆明勘察设计研究院有限公司,AA,102,2022-11-1
陕西天地地质有限责任公司,AA,102,2023-10-1
河北宝地建设工程有限公司,AA,102,2023-10-1
四川省鑫冶岩土工程有限公司,AA,102,2024-9-1
四川省核工业地质局二八一大队,AA,102,2024-9-1
甘肃九州岩土工程有限公司,AA,102,2024-9-1
四川九0九建设工程有限公司,AA,102,2024-9-1
四川省公路规划勘察设计研究院有限公司,AA,102,2023-10-1
四川省川建勘察设计院有限公司,AA,101,2023-10-1
中国有色金属工业西安勘察设计研究院有限公司,AA,101,2023-10-1
四川省蜀通建设集团有限责任公司,AA,101,2024-9-1
成都双源地质勘查有限责任公司,AA,101,2024-9-1
四川盐业地质钻井大队有限公司,AA,101,2024-9-1
四川省容大鹏程建设工程有限公司,AA,101,2024-9-1
江西省新达地质灾害防治有限公司,AA,101,2023-10-1
成都双源地质勘查有限责任公司,AA,101,2024-9-1
四川省西南大地集团有限公司,AA,101,2024-9-1
四川地元地质勘查有限公司,AA,101,2024-9-1
中国有色金属工业西安勘察设计研究院有限公司,AA,101,2023-10-1
四川省川建勘察设计院有限公司,AA,101,2023-10-1
江西省新达地质灾害防治有限公司,AA,101,2023-10-1
四川省第十地质大队,A,100,2024-9-1
四川益新工程勘察设计有限公司,A,100,2024-9-1
湖南省湘南工程勘察有限公司,A,100,2022-12-1
江西煤炭地质工程院有限公司,A,100,2022-11-1
四川典宇工程咨询有限公司,A,100,2023-10-1
中岩辉海有限公司,A,100,2023-10-1
中冶地勘岩土工程有限责任公司,A,100,2022-12-1
四川省第八地质大队,A,100,2022-11-1
西藏金海矿产资源开发有限公司（核工业西藏地质调查院）,A,100,2022-11-1
深圳市工勘岩土集团有限公司,A,100,2022-11-1
四川省冶金地质勘查院,A,100,2023-10-1
中冶地集团西北岩土工程有限公司,A,100,2022-12-1
新疆地质工程勘察院有限公司,A,100,2023-10-1
四川盛唐建设工程有限公司,A,100,2024-9-1
深圳市工勘岩土集团有限公司,A,100,2022-11-1
西藏金海矿产资源开发有限公司（核工业西藏地质调查院）,A,100,2022-11-1
四川得圆岩土工程有限责任公司,A,100,2024-9-1
四川省地质矿产勘查开发局化探队,A,100,2022-12-1
四川省第十一地质大队,A,100,2022-11-1
河北探宝地质工程有限责任公司,A,100,2023-12-1
江西煤炭地质工程院有限公司,A,100,2022-11-1
中铁二院工程集团有限责任公司,A,100,2023-12-1
四川典宇工程咨询有限公司,A,100,2023-10-1
四川煤田一四一建设投资有限公司,A,100,2024-9-1
天水中核建设工程有限公司,A,100,2023-10-1
四川省第八地质大队,A,100,2022-11-1
江西省空间生态建设有限公司,A,100,2023-10-1
四川省第十地质大队,A,100,2024-9-1
湖南省湘南工程勘察有限公司,A,100,2022-12-1
中冶地勘岩土工程有限责任公司,A,100,2022-12-1
四川华晓工程咨询有限公司,A,100,2023-10-1
安徽强勘建设有限公司,A,100,2022-12-1
四川益新工程勘察设计有限公司,A,100,2024-9-1
江西赣北地矿勘察设计集团有限公司,A,100,2022-11-1
中国建筑西南勘察设计研究院有限公司,A,100,2024-9-1
四川得圆岩土工程有限责任公司,A,100,2024-9-1
深圳市工勘岩土集团有限公司,A,100,2022-11-1
四川铭智工程勘察设计有限公司,A,100,2023-10-1
四川蜀康地勘集团有限公司,A,100,2024-9-1
江西赣北地矿勘察设计集团有限公司,A,100,2022-11-1
青岛地矿岩土工程有限公司,A,100,2022-11-1
辽宁地质海上工程勘察院有限责任公司,A,100,2023-10-1
安徽强勘建设有限公司,A,100,2022-12-1
久鼎三利建工集团有限公司,A,100,2022-11-1
山西太行矿业工程技术有限公司,A,100,2022-11-1
北京中地大工程勘察设计研究院有限责任公司,A,100,2022-12-1
中地天一（河南）工程管理咨询有限公司,A,100,2022-11-1
泸州一一三地质勘察服务有限公司,A,100,2023-10-1
湖北地矿建设工程承包集团有限公司,A,100,2023-10-1
四川省地质矿产勘查开发局化探队,A,100,2022-12-1
湖北省兴业地质工程有限公司,A,100,2022-11-1
四川省第十一地质大队,A,100,2022-11-1
张家口超越园林景观工程有限公司,A,100,2023-10-1
四川蜀景建设工程有限公司,A,100,2022-11-1
四川省地质矿产勘查开发局化探队,A,100,2022-12-1
湖北省兴业地质工程有限公司,A,100,2022-11-1
四川省第十一地质大队,A,100,2022-11-1
张家口超越园林景观工程有限公司,A,100,2023-10-1
四川蜀景建设工程有限公司,A,100,2022-11-1
湖北广元岩土工程有限公司,A,100,2022-11-1
山西太行矿业工程技术有限公司,A,100,2022-11-1
成都四海岩土工程有限公司,A,100,2023-10-1
四川蜀都地质工程勘察有限公司,A,100,2024-9-1
四川省四零五地质勘查集团有限公司,A,100,2024-9-1
四川蜀康地勘集团有限公司,A,100,2024-9-1
四川宇诚建筑工程咨询有限公司,A,100,2024-9-1
四川鑫陆零伍生态环境工程有限责任公司,A,100,2024-9-1
四川华远建设工程有限公司,A,100,2024-9-1
中国水电基础局有限公司,A,100,2022-12-1
中色资源环境工程股份有限公司,A,100,2023-12-1
四川省坤运环境建设有限公司,A,100,2024-9-1
百年建设集团有限公司,A,100,2022-11-1
北京中地大工程勘察设计研究院有限责任公司,A,100,2022-12-1
湖南鑫湘物探工程有限公司,A,100,2023-12-1
四川省化工地质勘查院,A,100,2022-12-1
四川省四零五地质勘查集团有限公司,A,100,2024-9-1
四川蜀康地勘集团有限公司,A,100,2024-9-1
四川宇诚建筑工程咨询有限公司,A,100,2024-9-1
四川鑫陆零伍生态环境工程有限责任公司,A,100,2024-9-1
四川华远建设工程有限公司,A,100,2024-9-1
中国水电基础局有限公司,A,100,2022-12-1
中色资源环境工程股份有限公司,A,100,2023-12-1
四川省坤运环境建设有限公司,A,100,2024-9-1
中成建业勘测设计有限公司,A,100,2023-10-1
北京中地大工程勘察设计研究院有限责任公司,A,100,2022-12-1
湖南鑫湘物探工程有限公司,A,100,2023-12-1
湖北省楚鹏基础工程有限责任公司,A,100,2023-10-1
江西隆锦生态环境建设有限公司,A,100,2022-11-1
湖北鄂西生态建设有限公司,A,100,2022-11-1
唐山中地地质工程有限公司,A,100,2023-10-1
深圳市工勘岩土集团有限公司,A,100,2022-11-1
中航勘察设计研究院有限公司,A,100,2024-9-1
陕西工程勘察研究院有限公司,A,100,2023-12-1
中地寅岗建设集团有限公司,A,100,2024-9-1
深圳市工勘岩土集团有限公司,A,100,2022-11-1
四川省冶勘陆零壹地质工程建设有限公司,A,100,2023-10-1
陕西工程勘察研究院有限公司,A,100,2023-12-1
译诚实业集团有限公司,A,100,2023-10-1
中地寅岗建设集团有限公司,A,100,2024-9-1
百年建设集团有限公司,A,100,2022-11-1
