address,company_name,company_type,corporate_representative,overall_merit,overall_year,registered_capital,social_code
成都市武侯区武科西四路9号,成都市昊鸣路安汽车维修有限责任公司,维修企业,,A,2022,0,915101070549352000
成都市武侯区簇桥成双大道中段81号,四川五鑫汽贸有限公司,维修企业,,A,2022,0,91510107797808874G
成都市武侯区望锦西街51号,成都兴川达汽车维修有限公司,维修企业,,A,2022,0,915101073579871000
成都市武侯区武侯大道双楠段29号,成都实易捷汽车服务有限公司,维修企业,,A,2022,0,91510107395456351W
新都区大丰街道办皇花社区,成都市精诚车业有限公司,维修企业,,A,2022,0,915101147348200000
新都区新都街道瓦店村六组,新都区新都镇兴蓉汽修厂,维修企业,,A,2022,0,92510114L11294377M
成都市温江区万春镇黄石社区4组200号,温江洪鑫汽修厂,维修企业,,A,2022,0,92510115L50263098U
成都市温江区天府东路165号,温江区正兴汽车修理厂,维修企业,,A,2022,0,92510115L7704846XF
成都市温江区天府街道梓潼社区12组101号,温江区小龙汽车修理厂,维修企业,,A,2022,0,92510115L778336444
四川省成都市天府新区万安镇中太路1号,成都天府华星锦业汽车销售服务有限公司,维修企业,,AA,2022,0,91510100MA61R01P7X
盐亭县云溪镇凤凰大道116号,盐亭县蜀晨汽修厂,维修企业,,AA,2022,0,91510723314551569X
四川省成都市双流县华阳镇会龙村迎宾大道1号,成都启阳华通丰田汽车销售服务有限公司,维修企业,,AA,2022,0,91510100771225195R
四川省成都市天府新区华阳街道华府大道一段1号,四川启阳汽车贸易有限公司,维修企业,,AA,2022,0,91510100777487401C
四川省成都市天府新区籍田街道鱼鹤村三组202号,四川鑫通驰汽车销售服务有限公司,维修企业,,AA,2022,0,91510100MA6C9WDD49
成都市双流区东升街道城北上街46-52号,双流区建华汽车养护站,维修企业,,B,2022,0,92510122L71156056B
成都市双流区西航港街道川大路三段108号27栋15-20号,双流区宏发汽修部,维修企业,,B,2022,0,92510122L3218867XA
平武县龙安镇金龙路,平武县龙安钰满汽修厂,维修企业,,A,2022,0,92510727MA676KEP57
平武县龙安镇滨江南路19号,平武县崔氏汽车服务有限责任公司,维修企业,,AA,2022,0,91510727569705224E
温江区天府街办天府街东段61号,成都市温江区裕康运输有限责任公司,维修企业,,AA,2022,0,915101152024584000
平武县龙州东路,平武县兴顺通汽车维修服务有限公司,维修企业,,AA,2022,0,91510727MA624DM581
成都市温江区万春镇江宁中路1号,成都温江华星锦业汽车销售服务有限公司,维修企业,,AA,2022,0,91510115MA6DHF1A13
四川省成都市天府新区华阳街道河池路16-30号,成都鑫顺达汽车服务有限公司,维修企业,,B,2022,0,91510100099870996J
成都市温江区成都海峡两岸科技产业开发园新华大道一段8号,中集天达消防技术服务有限公司,维修企业,,AA,2022,0,91510115MA697LLU0R
成都市新都惠民路159号,成都祥发汽车服务有限公司,维修企业,,B,2022,0,91510114MA61RKKR9Y
四川省成都市天府新区新兴街道凉水村6组100号、101号,成都新莱德汽车维修服务有限公司,维修企业,,B,2022,0,91510100MA6B8BEP57
新都区新东村3组,新都区永兴汽车维修部,维修企业,,B,2022,0,92510114MA6DF98M7C
新津县五津镇温州路81号,新津津杨汽修厂,维修企业,,A,2022,0,91510132X21864887Q
新都区新繁镇繁川家具大道686号,新都区新繁镇伟润汽修厂,维修企业,,B,2022,0,92510114MA6C0WMX6X
新都区石板滩街道石木路199号1栋1-2楼,成都广盈汽车销售有限公司,维修企业,,B,2022,0,91510114MA7LH6FM3W
新都区大丰蓉北路一段1号附1号,成都银骅汽车服务有限公司,维修企业,,B,2022,0,91510114332043082F
成都市新都区新繁镇和平村十社,新都区新繁宏达汽车修理厂,维修企业,,B,2022,0,92510114L00723148H
新津县花桥镇蔡湾村3组96号,成都天逸汽车销售服务有限公司,维修企业,,A,2022,0,91510132562011895G
新津县花桥镇长绍街317号,新津县欣和汽车维修厂,维修企业,,B,2022,0,92510132L24477738D
成都市新津县花桥镇蔡湾村3组68号,四川鑫虹汽车贸易有限责任公司,维修企业,,B,2022,0,915101326962748000
新津县五河路598号,新津县众和汽修厂,维修企业,,B,2022,0,91510132L29484355K
新津县永商镇望江社区文昌路72号,新津县鑫达汽车修理厂,维修企业,,B,2022,0,92510132L18671171A
新津县永商镇五河路107号,新津益隆汽修厂,维修企业,,B,2022,0,92510132L35729144P
成都市新津县花源镇正西后街183号,成都明睿汽车维修有限公司,维修企业,,B,2022,0,91510132321594591E
新津宝墩镇黄鹤大道328号,新津川新汽修厂,维修企业,,B,2022,0,92510132MA6D04FQ97
新津县五津镇平岗路61号,新津县五津镇名顺汽车修理厂,维修企业,,B,2022,0,92510132L5027562XH
四川省成都市新津区花桥街道蔡湾村1组81号,新津齐力达汽修厂,维修企业,,B,2022,0,9251013MA62P12F4L
新津花桥镇长绍街124号,新津花桥宏光汽修厂,维修企业,,B,2022,0,92510132L00734189R
新津县普兴镇普兴社区1组111号,新津津州汽修厂,维修企业,,B,2022,0,91510132771231632W
新津花源镇花源社区14组85号,新津县兴旺汽修厂,维修企业,,B,2022,0,92510132L56182969D
新津县花桥镇蔡湾村3组625号,新津县顺大汽修厂,维修企业,,B,2022,0,92510132L29496903D
新津县五津镇平岗路1号,新津恒盛汽修厂,维修企业,,A,2022,0,92510132L25923138T
新津县迎宾大道204号,新津诚信汽修厂,维修企业,,A,2022,0,92510132L16096337U
四川省成都市新津县五津街道武阳东路24号,新津飞虹汽修厂,维修企业,,A,2022,0,92510132L56167355J
新津县永商镇五河路159号,成都市五河汽车贸易有限公司,维修企业,,B,2022,0,91510132394385176G
